tst1,23, Private, 122272, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 30, United-States,?
tst22,42, Local-gov, 254817, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1340, 40, United-States,?
tst23,18, Private, 140164, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States,?
tst24,66, Self-emp-not-inc, 167687, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 1409, 0, 50, United-States,?
tst25,42, Self-emp-not-inc, 303044, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Cambodia,?
tst26,26, Private, 378322, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst27,55, Private, 238638, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 4386, 0, 40, United-States,?
tst28,41, Self-emp-inc, 34987, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 54, United-States,?
tst29,36, Self-emp-not-inc, 205607, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst30,40, Private, 96129, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst31,40, State-gov, 184018, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 38, United-States,?
tst32,41, Local-gov, 42346, Some-college, 10, Divorced, Other-service, Not-in-family, Black, Female, 0, 0, 24, United-States,?
tst33,20, Private, 298227, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 35, United-States,?
tst34,49, Private, 192776, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 45, United-States,?
tst35,35, Private, 229328, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, 0, 0, 40, United-States,?
tst36,60, Private, 39352, 7th-8th, 4, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 48, United-States,?
tst37,65, Private, 109351, 9th, 5, Widowed, Priv-house-serv, Unmarried, Black, Female, 0, 0, 24, United-States,?
tst38,24, Private, 556660, HS-grad, 9, Never-married, Exec-managerial, Other-relative, White, Male, 4101, 0, 50, United-States,?
tst39,35, Private, 261293, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst40,27, State-gov, 249362, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 3411, 0, 40, United-States,?
tst41,17, Private, 102726, 12th, 8, Never-married, Other-service, Own-child, White, Male, 0, 0, 16, United-States,?
tst42,34, Self-emp-not-inc, 190290, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst43,29, Private, 271328, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 4650, 0, 40, United-States,?
tst44,55, Self-emp-not-inc, 200939, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 72, United-States,?
tst45,17, Private, 316929, 12th, 8, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States,?
tst46,29, Private, 267034, 11th, 7, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, Haiti,?
tst47,32, Private, 188557, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst48,26, Private, 171114, Some-college, 10, Never-married, Farming-fishing, Not-in-family, White, Female, 0, 0, 38, United-States,?
tst49,23, Local-gov, 282579, Assoc-voc, 11, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 56, United-States,?
tst50,41, Self-emp-not-inc, 49572, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States,?
tst51,41, Self-emp-inc, 32185, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst52,64, Private, 169871, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States,?
tst53,55, Private, 387569, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 4386, 0, 40, United-States,?
tst54,26, Private, 96467, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst55,24, Private, 121313, Some-college, 10, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 50, United-States,?
tst56,51, Self-emp-not-inc, 160724, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 2415, 40, China,?
tst57,25, Private, 98155, Some-college, 10, Never-married, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States,?
tst58,41, Private, 132222, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2415, 40, United-States,?
tst59,51, Private, 133461, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst60,34, Private, 202046, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States,?
tst61,38, State-gov, 343642, HS-grad, 9, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States,?
tst62,51, Private, 220537, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst63,42, Private, 118494, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 44, United-States,?
tst64,33, Private, 26973, Assoc-voc, 11, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 40, United-States,?
tst65,45, Private, 368561, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States,?
tst66,38, Private, 132879, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States,?
tst67,37, State-gov, 60227, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 38, United-States,?
tst68,44, Private, 193459, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 3411, 0, 40, United-States,?
tst69,33, Private, 178506, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst70,51, Private, 241346, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 43, United-States,?
tst71,36, Private, 416745, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst72,65, Private, 118779, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States,?
tst73,48, Private, 182862, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst74,63, ?, 150389, Bachelors, 13, Widowed, ?, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst75,33, ?, 163003, HS-grad, 9, Divorced, ?, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 41, China,?
tst76,55, Private, 176317, HS-grad, 9, Widowed, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States,?
tst77,29, Private, 236436, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst78,49, Private, 148995, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst79,32, Private, 209432, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Female, 0, 0, 40, United-States,?
tst80,31, Private, 163594, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst81,20, Private, 232577, Some-college, 10, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, United-States,?
tst82,57, Private, 182062, 10th, 6, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States,?
tst83,20, Private, 324469, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst84,57, Private, 265099, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States,?
tst85,57, Private, 89392, Masters, 14, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst86,42, Private, 173938, HS-grad, 9, Separated, Sales, Own-child, White, Female, 0, 0, 40, United-States,?
tst87,22, Private, 103440, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 24, United-States,?
tst88,43, Local-gov, 169203, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst89,25, Private, 208999, Some-college, 10, Separated, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States,?
tst90,48, Self-emp-inc, 192945, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States,?
tst91,61, Private, 120939, Prof-school, 15, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 5, United-States,?
tst92,33, Private, 159322, HS-grad, 9, Divorced, Other-service, Unmarried, White, Male, 0, 0, 40, United-States,?
tst93,22, Private, 214731, 10th, 6, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States,?
tst94,47, Private, 111797, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 35, Outlying-US(Guam-USVI-etc),?
tst95,38, Self-emp-not-inc, 257250, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 52, United-States,?
tst96,51, Private, 71046, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 45, Scotland,?
tst97,26, Local-gov, 46097, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst98,57, State-gov, 68830, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst99,52, Private, 147876, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 15024, 0, 60, United-States,?
tst100,27, Private, 284196, 10th, 6, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst101,65, State-gov, 209280, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 6514, 0, 35, United-States,?
tst102,35, Private, 119272, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States,?
tst103,43, Private, 39581, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 45, United-States,?
tst104,47, Federal-gov, 168191, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, ?,?
tst105,21, Private, 57711, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States,?
tst106,49, Private, 169818, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States,?
tst107,50, State-gov, 211319, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 38, United-States,?
tst108,22, Private, 267174, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 0, 40, United-States,?
tst109,46, Local-gov, 36228, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States,?
tst110,56, Private, 261232, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst111,23, Private, 64292, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst112,63, ?, 231777, Masters, 14, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 30, United-States,?
tst113,42, Self-emp-not-inc, 201522, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States,?
tst114,68, Self-emp-not-inc, 197015, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, United-States,?
tst115,42, Local-gov, 445382, Bachelors, 13, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst116,50, ?, 156008, 11th, 7, Married-civ-spouse, ?, Own-child, Black, Female, 0, 0, 40, United-States,?
tst117,28, Private, 162551, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female, 0, 0, 48, China,?
tst118,30, Private, 226013, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst119,21, Private, 260847, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 30, United-States,?
tst120,45, Self-emp-not-inc, 133969, HS-grad, 9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 50, South,?
tst121,35, Private, 343403, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst122,66, Self-emp-not-inc, 293114, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 1409, 0, 40, United-States,?
tst123,28, ?, 308493, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 17, Honduras,?
tst124,45, Private, 142287, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States,?
tst125,57, State-gov, 39380, HS-grad, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst126,38, Federal-gov, 338320, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 50, United-States,?
tst127,45, Private, 241350, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States,?
tst128,25, Private, 73289, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States,?
tst129,45, Private, 246891, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 40, United-States,?
tst130,18, Private, 675421, 9th, 5, Never-married, Handlers-cleaners, Own-child, White, Male, 594, 0, 40, United-States,?
tst131,20, ?, 121313, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst132,34, Self-emp-inc, 215382, Masters, 14, Separated, Prof-specialty, Not-in-family, White, Female, 4787, 0, 40, United-States,?
tst133,19, Private, 172893, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 30, United-States,?
tst134,25, Private, 302465, 12th, 8, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 1741, 40, United-States,?
tst135,51, Private, 41474, 10th, 6, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico,?
tst136,29, Private, 121523, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States,?
tst137,39, State-gov, 267581, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst138,61, Private, 355645, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 20, Trinadad&Tobago,?
tst139,75, ?, 164849, 9th, 5, Married-civ-spouse, ?, Husband, Black, Male, 1409, 0, 5, United-States,?
tst140,76, ?, 152802, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 8, United-States,?
tst141,27, Private, 253814, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst142,25, Private, 63062, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 60, United-States,?
tst143,32, Self-emp-inc, 110331, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 65, United-States,?
tst144,45, Private, 192835, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 55, United-States,?
tst145,74, Private, 101590, Prof-school, 15, Widowed, Adm-clerical, Not-in-family, Black, Female, 0, 0, 20, United-States,?
tst146,31, Private, 124827, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst147,23, Private, 334357, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States,?
tst148,70, Private, 94692, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States,?
tst149,47, Private, 122026, Assoc-voc, 11, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst150,48, Private, 121124, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States,?
tst151,34, ?, 346762, 11th, 7, Divorced, ?, Own-child, White, Male, 0, 0, 84, United-States,?
tst152,20, Private, 436253, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States,?
tst153,20, Private, 64292, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst154,28, Private, 192200, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?,?
tst155,25, Private, 216010, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States,?
tst156,27, Private, 214858, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States,?
tst157,22, Private, 130356, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 48, United-States,?
tst158,69, Self-emp-not-inc, 69306, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 15, United-States,?
tst159,19, Federal-gov, 30559, HS-grad, 9, Married-AF-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States,?
tst160,30, Private, 177304, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst161,21, ?, 230397, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 5, United-States,?
tst162,23, Private, 240063, Bachelors, 13, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 25, United-States,?
tst163,35, Self-emp-not-inc, 361888, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, Japan,?
tst164,49, Private, 36032, Some-college, 10, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst165,36, Private, 140583, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst166,48, Private, 176140, 11th, 7, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst167,46, Private, 176814, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 50, United-States,?
tst168,42, Local-gov, 245307, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 48, United-States,?
tst169,45, Private, 178319, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 56, United-States,?
tst170,45, Private, 67716, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 10520, 0, 48, United-States,?
tst171,35, Private, 261382, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst172,43, Self-emp-inc, 320984, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States,?
tst173,45, Local-gov, 160472, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 50, United-States,?
tst174,47, Private, 297884, 10th, 6, Widowed, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst175,82, ?, 29441, 7th-8th, 4, Widowed, ?, Not-in-family, White, Male, 0, 0, 5, United-States,?
tst176,21, ?, 224209, HS-grad, 9, Married-civ-spouse, ?, Wife, Black, Female, 0, 0, 30, United-States,?
tst177,36, Private, 173804, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst178,34, Private, 19847, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst179,26, Private, 209942, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 0, 40, United-States,?
tst180,21, Private, 256356, 11th, 7, Never-married, Priv-house-serv, Other-relative, White, Female, 0, 0, 40, Mexico,?
tst181,53, Private, 374588, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 60, United-States,?
tst182,17, Private, 139183, 10th, 6, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States,?
tst183,18, ?, 139003, HS-grad, 9, Never-married, ?, Other-relative, Other, Female, 0, 0, 12, United-States,?
tst184,34, ?, 197688, HS-grad, 9, Never-married, ?, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst185,30, Private, 75755, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst186,18, Private, 131033, 11th, 7, Never-married, Other-service, Other-relative, Black, Male, 0, 0, 15, United-States,?
tst187,55, Private, 276229, HS-grad, 9, Widowed, Sales, Not-in-family, White, Female, 0, 0, 38, United-States,?
tst188,19, ?, 188618, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 25, United-States,?
tst189,51, Private, 159910, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, Black, Male, 10520, 0, 40, United-States,?
tst190,24, Private, 278130, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst191,17, Private, 115551, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States,?
tst192,28, Private, 50814, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst193,23, ?, 191444, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst194,23, Private, 189832, Assoc-acdm, 12, Never-married, Transport-moving, Unmarried, White, Female, 0, 0, 40, United-States,?
tst195,61, Private, 232308, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst196,44, State-gov, 174325, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 7688, 0, 40, United-States,?
tst197,75, Self-emp-not-inc, 184335, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 30, United-States,?
tst198,53, Private, 123429, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States,?
tst199,43, Private, 76487, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst200,43, Private, 147110, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Male, 0, 0, 48, United-States,?
tst201,38, Private, 234901, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 60, United-States,?
tst202,30, Private, 125762, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 30, United-States,?
tst203,51, Private, 195105, HS-grad, 9, Divorced, Priv-house-serv, Own-child, White, Female, 0, 0, 40, United-States,?
tst204,52, Private, 101752, Assoc-voc, 11, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 56, United-States,?
tst205,49, Self-emp-inc, 362654, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States,?
tst206,23, Private, 249277, HS-grad, 9, Never-married, Exec-managerial, Own-child, Black, Male, 0, 0, 75, United-States,?
tst207,25, Private, 197871, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States,?
tst208,21, Private, 190761, 10th, 6, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 70, United-States,?
tst209,28, Private, 282398, Some-college, 10, Separated, Tech-support, Unmarried, White, Male, 0, 0, 40, United-States,?
tst210,51, Self-emp-inc, 166459, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst211,62, ?, 182687, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 45, United-States,?
tst212,57, State-gov, 141459, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States,?
tst213,19, ?, 174233, Some-college, 10, Never-married, ?, Own-child, Black, Male, 0, 0, 24, United-States,?
tst214,28, Private, 247445, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst215,51, Private, 186338, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst216,53, Private, 201127, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States,?
tst217,17, Private, 200199, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 35, United-States,?
tst218,39, Private, 746786, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States,?
tst219,29, Local-gov, 329426, HS-grad, 9, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst220,44, Federal-gov, 404599, HS-grad, 9, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst221,23, Private, 291248, HS-grad, 9, Never-married, Machine-op-inspct, Other-relative, Black, Male, 0, 0, 40, United-States,?
tst222,51, Self-emp-not-inc, 240358, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States,?
